vars = 31977, values = 31501time: 186ms, objective = 40
time: 194ms, objective = 39
time: 199ms, objective = 37
time: 204ms, objective = 36
time: 208ms, objective = 35
time: 212ms, objective = 34
time: 215ms, objective = 33
time: 218ms, objective = 32
time: 221ms, objective = 31
time: 225ms, objective = 30
time: 229ms, objective = 29
time: 232ms, objective = 28
time: 235ms, objective = 27
time: 239ms, objective = 26
time: 243ms, objective = 25
time: 246ms, objective = 24
time: 249ms, objective = 23
Found optimal solution with makespan 23 at time: 250ms
