time: 211ms, objective = 231
time: 232ms, objective = 230
time: 239ms, objective = 229
time: 249ms, objective = 228
time: 256ms, objective = 227
time: 262ms, objective = 225
time: 269ms, objective = 224
time: 275ms, objective = 222
time: 280ms, objective = 219
time: 286ms, objective = 218
time: 292ms, objective = 217
time: 298ms, objective = 216
time: 305ms, objective = 215
time: 312ms, objective = 214
time: 319ms, objective = 213
time: 325ms, objective = 211
time: 332ms, objective = 210
time: 339ms, objective = 209
time: 345ms, objective = 207
time: 351ms, objective = 205
time: 358ms, objective = 204
time: 364ms, objective = 203
time: 369ms, objective = 202
time: 375ms, objective = 201
time: 380ms, objective = 200
time: 385ms, objective = 196
time: 401ms, objective = 195
time: 406ms, objective = 193
time: 412ms, objective = 192
time: 416ms, objective = 190
time: 421ms, objective = 188
time: 426ms, objective = 185
time: 431ms, objective = 184
time: 436ms, objective = 183
time: 440ms, objective = 182
time: 445ms, objective = 180
time: 450ms, objective = 179
time: 456ms, objective = 178
time: 461ms, objective = 177
time: 466ms, objective = 176
time: 472ms, objective = 175
time: 477ms, objective = 173
time: 482ms, objective = 172
time: 487ms, objective = 169
time: 491ms, objective = 168
time: 496ms, objective = 167
time: 501ms, objective = 166
time: 506ms, objective = 165
time: 510ms, objective = 164
time: 514ms, objective = 163
time: 519ms, objective = 162
time: 524ms, objective = 161
time: 528ms, objective = 160
time: 534ms, objective = 159
time: 540ms, objective = 158
time: 545ms, objective = 157
time: 550ms, objective = 154
time: 554ms, objective = 153
time: 559ms, objective = 151
time: 564ms, objective = 148
time: 568ms, objective = 145
time: 573ms, objective = 144
time: 577ms, objective = 142
time: 582ms, objective = 141
time: 586ms, objective = 140
time: 590ms, objective = 138
time: 595ms, objective = 137
time: 599ms, objective = 135
time: 603ms, objective = 133
time: 608ms, objective = 132
time: 612ms, objective = 131
time: 616ms, objective = 130
time: 620ms, objective = 129
time: 624ms, objective = 128
time: 628ms, objective = 127
time: 632ms, objective = 126
time: 636ms, objective = 125
time: 640ms, objective = 124
time: 645ms, objective = 120
time: 649ms, objective = 119
time: 653ms, objective = 118
time: 657ms, objective = 115
time: 661ms, objective = 114
time: 664ms, objective = 113
time: 668ms, objective = 111
time: 672ms, objective = 109
time: 676ms, objective = 105
time: 680ms, objective = 104
time: 684ms, objective = 101
time: 688ms, objective = 100
time: 692ms, objective = 99
time: 696ms, objective = 98
time: 700ms, objective = 96
time: 703ms, objective = 95
time: 707ms, objective = 93
time: 712ms, objective = 92
time: 717ms, objective = 91
time: 722ms, objective = 90
time: 727ms, objective = 89
time: 731ms, objective = 85
time: 735ms, objective = 84
time: 740ms, objective = 83
time: 744ms, objective = 82
time: 748ms, objective = 78
time: 753ms, objective = 77
time: 757ms, objective = 75
time: 761ms, objective = 72
time: 766ms, objective = 70
time: 769ms, objective = 68
time: 774ms, objective = 66
time: 778ms, objective = 63
time: 782ms, objective = 60
time: 786ms, objective = 59
time: 790ms, objective = 57
time: 794ms, objective = 56
time: 798ms, objective = 55
time: 802ms, objective = 54
time: 806ms, objective = 53
time: 809ms, objective = 52
time: 813ms, objective = 50
time: 817ms, objective = 47
time: 822ms, objective = 46
time: 825ms, objective = 44
time: 830ms, objective = 41
time: 833ms, objective = 40
time: 837ms, objective = 39
time: 840ms, objective = 38
time: 845ms, objective = 36
time: 848ms, objective = 35
Found optimal solution with makespan 35 at time: 850ms
