time: 239ms, objective = 261
time: 256ms, objective = 260
time: 264ms, objective = 259
time: 271ms, objective = 258
time: 279ms, objective = 257
time: 287ms, objective = 255
time: 294ms, objective = 254
time: 301ms, objective = 252
time: 307ms, objective = 251
time: 314ms, objective = 248
time: 321ms, objective = 245
time: 329ms, objective = 244
time: 336ms, objective = 243
time: 345ms, objective = 242
time: 352ms, objective = 239
time: 359ms, objective = 238
time: 366ms, objective = 237
time: 373ms, objective = 235
time: 381ms, objective = 232
time: 388ms, objective = 231
time: 396ms, objective = 230
time: 403ms, objective = 223
time: 410ms, objective = 222
time: 417ms, objective = 221
time: 424ms, objective = 220
time: 431ms, objective = 219
time: 449ms, objective = 218
time: 457ms, objective = 217
time: 465ms, objective = 214
time: 471ms, objective = 213
time: 477ms, objective = 212
time: 484ms, objective = 209
time: 490ms, objective = 208
time: 496ms, objective = 206
time: 503ms, objective = 204
time: 509ms, objective = 202
time: 515ms, objective = 200
time: 521ms, objective = 198
time: 528ms, objective = 195
time: 535ms, objective = 194
time: 542ms, objective = 193
time: 549ms, objective = 192
time: 556ms, objective = 188
time: 562ms, objective = 185
time: 568ms, objective = 182
time: 574ms, objective = 181
time: 581ms, objective = 178
time: 588ms, objective = 177
time: 593ms, objective = 176
time: 600ms, objective = 175
time: 606ms, objective = 174
time: 612ms, objective = 173
time: 618ms, objective = 172
time: 623ms, objective = 171
time: 629ms, objective = 170
time: 635ms, objective = 169
time: 641ms, objective = 164
time: 647ms, objective = 163
time: 652ms, objective = 161
time: 657ms, objective = 160
time: 663ms, objective = 156
time: 669ms, objective = 155
time: 676ms, objective = 154
time: 682ms, objective = 151
time: 688ms, objective = 150
time: 694ms, objective = 148
time: 700ms, objective = 147
time: 705ms, objective = 141
time: 712ms, objective = 140
time: 717ms, objective = 139
time: 723ms, objective = 137
time: 729ms, objective = 136
time: 734ms, objective = 134
time: 739ms, objective = 133
time: 744ms, objective = 130
time: 750ms, objective = 129
time: 755ms, objective = 128
time: 760ms, objective = 126
time: 765ms, objective = 124
time: 770ms, objective = 123
time: 774ms, objective = 121
time: 779ms, objective = 120
time: 784ms, objective = 119
time: 789ms, objective = 118
time: 794ms, objective = 117
time: 799ms, objective = 116
time: 804ms, objective = 115
time: 808ms, objective = 113
time: 813ms, objective = 111
time: 819ms, objective = 110
time: 824ms, objective = 108
time: 829ms, objective = 107
time: 834ms, objective = 104
time: 838ms, objective = 103
time: 843ms, objective = 102
time: 847ms, objective = 101
time: 852ms, objective = 100
time: 856ms, objective = 99
time: 861ms, objective = 98
time: 866ms, objective = 97
time: 871ms, objective = 96
time: 875ms, objective = 95
time: 880ms, objective = 94
time: 884ms, objective = 92
time: 889ms, objective = 89
time: 893ms, objective = 88
time: 899ms, objective = 87
time: 904ms, objective = 86
time: 908ms, objective = 85
time: 913ms, objective = 83
time: 918ms, objective = 82
time: 923ms, objective = 81
time: 928ms, objective = 80
time: 932ms, objective = 79
time: 937ms, objective = 78
time: 941ms, objective = 77
time: 946ms, objective = 76
time: 950ms, objective = 75
time: 954ms, objective = 74
time: 959ms, objective = 73
time: 963ms, objective = 72
time: 968ms, objective = 71
time: 972ms, objective = 70
time: 977ms, objective = 69
time: 982ms, objective = 68
time: 986ms, objective = 67
time: 991ms, objective = 66
time: 995ms, objective = 65
time: 1000ms, objective = 64
time: 1s, objective = 63
time: 1s, objective = 62
time: 1s, objective = 61
time: 1s, objective = 60
time: 1s, objective = 59
time: 1s, objective = 58
time: 1s, objective = 57
time: 1s, objective = 56
time: 1s, objective = 55
time: 1s, objective = 54
time: 1s, objective = 53
time: 1s, objective = 52
time: 1s, objective = 51
time: 1s, objective = 50
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 47
time: 1s, objective = 46
time: 1s, objective = 45
time: 1s, objective = 44
time: 1s, objective = 43
time: 1s, objective = 42
time: 1s, objective = 41
time: 1s, objective = 40
time: 1s, objective = 39
Found optimal solution with makespan 39 at time: 1s
