time: 205ms, objective = 229
time: 224ms, objective = 228
time: 230ms, objective = 227
time: 235ms, objective = 226
time: 240ms, objective = 225
time: 245ms, objective = 224
time: 249ms, objective = 223
time: 254ms, objective = 220
time: 259ms, objective = 219
time: 263ms, objective = 218
time: 268ms, objective = 216
time: 272ms, objective = 213
time: 277ms, objective = 211
time: 282ms, objective = 210
time: 287ms, objective = 209
time: 292ms, objective = 208
time: 297ms, objective = 204
time: 302ms, objective = 203
time: 306ms, objective = 202
time: 311ms, objective = 200
time: 315ms, objective = 198
time: 319ms, objective = 197
time: 325ms, objective = 196
time: 330ms, objective = 195
time: 334ms, objective = 193
time: 339ms, objective = 191
time: 354ms, objective = 188
time: 359ms, objective = 186
time: 363ms, objective = 185
time: 367ms, objective = 184
time: 371ms, objective = 182
time: 375ms, objective = 181
time: 379ms, objective = 180
time: 384ms, objective = 179
time: 389ms, objective = 178
time: 392ms, objective = 176
time: 396ms, objective = 175
time: 401ms, objective = 174
time: 405ms, objective = 173
time: 409ms, objective = 172
time: 413ms, objective = 171
time: 417ms, objective = 170
time: 421ms, objective = 163
time: 425ms, objective = 162
time: 429ms, objective = 158
time: 433ms, objective = 157
time: 437ms, objective = 156
time: 440ms, objective = 155
time: 444ms, objective = 154
time: 449ms, objective = 151
time: 454ms, objective = 150
time: 458ms, objective = 149
time: 462ms, objective = 148
time: 465ms, objective = 147
time: 469ms, objective = 146
time: 473ms, objective = 145
time: 477ms, objective = 143
time: 480ms, objective = 142
time: 484ms, objective = 140
time: 487ms, objective = 139
time: 491ms, objective = 137
time: 495ms, objective = 136
time: 498ms, objective = 135
time: 502ms, objective = 134
time: 505ms, objective = 133
time: 509ms, objective = 132
time: 513ms, objective = 131
time: 517ms, objective = 130
time: 520ms, objective = 127
time: 524ms, objective = 126
time: 527ms, objective = 123
time: 531ms, objective = 122
time: 534ms, objective = 121
time: 538ms, objective = 119
time: 541ms, objective = 118
time: 546ms, objective = 117
time: 549ms, objective = 115
time: 552ms, objective = 114
time: 555ms, objective = 113
time: 559ms, objective = 111
time: 562ms, objective = 110
time: 565ms, objective = 108
time: 568ms, objective = 107
time: 571ms, objective = 105
time: 576ms, objective = 104
time: 580ms, objective = 101
time: 583ms, objective = 99
time: 586ms, objective = 98
time: 589ms, objective = 97
time: 592ms, objective = 96
time: 595ms, objective = 95
time: 598ms, objective = 93
time: 601ms, objective = 91
time: 604ms, objective = 89
time: 607ms, objective = 88
time: 610ms, objective = 87
time: 613ms, objective = 86
time: 616ms, objective = 85
time: 619ms, objective = 84
time: 622ms, objective = 83
time: 625ms, objective = 82
time: 628ms, objective = 81
time: 631ms, objective = 80
time: 634ms, objective = 78
time: 637ms, objective = 77
time: 639ms, objective = 75
time: 642ms, objective = 74
time: 645ms, objective = 72
time: 647ms, objective = 71
time: 650ms, objective = 69
time: 654ms, objective = 68
time: 656ms, objective = 67
time: 659ms, objective = 66
time: 661ms, objective = 64
time: 664ms, objective = 63
time: 667ms, objective = 62
time: 669ms, objective = 61
time: 672ms, objective = 60
time: 674ms, objective = 59
time: 677ms, objective = 58
time: 679ms, objective = 56
time: 682ms, objective = 54
time: 685ms, objective = 53
time: 687ms, objective = 51
time: 690ms, objective = 49
time: 692ms, objective = 48
time: 694ms, objective = 47
time: 696ms, objective = 43
time: 699ms, objective = 42
time: 701ms, objective = 41
time: 703ms, objective = 38
time: 705ms, objective = 37
time: 707ms, objective = 36
time: 709ms, objective = 35
time: 712ms, objective = 34
time: 714ms, objective = 33
time: 716ms, objective = 32
time: 718ms, objective = 31
time: 720ms, objective = 30
time: 722ms, objective = 29
Found optimal solution with makespan 29 at time: 723ms
