vars = 30635, values = 30181time: 222ms, objective = 158
time: 232ms, objective = 153
time: 241ms, objective = 150
time: 249ms, objective = 149
time: 257ms, objective = 148
time: 264ms, objective = 147
time: 270ms, objective = 144
time: 278ms, objective = 143
time: 286ms, objective = 142
time: 294ms, objective = 140
time: 301ms, objective = 138
time: 308ms, objective = 135
time: 315ms, objective = 134
time: 320ms, objective = 133
time: 328ms, objective = 132
time: 334ms, objective = 131
time: 340ms, objective = 129
time: 348ms, objective = 126
time: 354ms, objective = 125
time: 361ms, objective = 124
time: 368ms, objective = 116
time: 375ms, objective = 114
time: 382ms, objective = 108
time: 388ms, objective = 106
time: 394ms, objective = 105
time: 411ms, objective = 98
time: 417ms, objective = 97
time: 423ms, objective = 96
time: 429ms, objective = 95
time: 433ms, objective = 93
time: 439ms, objective = 91
time: 445ms, objective = 90
time: 451ms, objective = 87
time: 456ms, objective = 86
time: 462ms, objective = 84
time: 468ms, objective = 83
time: 473ms, objective = 82
time: 479ms, objective = 81
time: 484ms, objective = 80
time: 489ms, objective = 79
time: 494ms, objective = 77
time: 500ms, objective = 71
time: 506ms, objective = 69
time: 511ms, objective = 67
time: 516ms, objective = 58
time: 521ms, objective = 55
time: 525ms, objective = 51
time: 530ms, objective = 48
time: 534ms, objective = 47
time: 538ms, objective = 46
time: 542ms, objective = 45
time: 546ms, objective = 44
time: 550ms, objective = 43
time: 555ms, objective = 41
time: 559ms, objective = 38
time: 563ms, objective = 37
time: 567ms, objective = 36
time: 571ms, objective = 35
time: 576ms, objective = 34
time: 580ms, objective = 33
time: 584ms, objective = 32
time: 588ms, objective = 31
time: 590ms, objective = 30
time: 595ms, objective = 29
Found optimal solution with makespan 29 at time: 597ms
