vars = 31855, values = 31381time: 188ms, objective = 52
time: 199ms, objective = 50
time: 205ms, objective = 48
time: 209ms, objective = 45
time: 214ms, objective = 44
time: 218ms, objective = 43
time: 221ms, objective = 42
time: 225ms, objective = 41
time: 229ms, objective = 40
time: 233ms, objective = 39
time: 237ms, objective = 38
time: 243ms, objective = 37
time: 248ms, objective = 36
time: 251ms, objective = 35
time: 255ms, objective = 34
time: 258ms, objective = 33
time: 263ms, objective = 32
time: 267ms, objective = 31
Found optimal solution with makespan 31 at time: 269ms
