time: 231ms, objective = 241
time: 249ms, objective = 240
time: 260ms, objective = 239
time: 269ms, objective = 237
time: 279ms, objective = 236
time: 287ms, objective = 235
time: 296ms, objective = 233
time: 305ms, objective = 230
time: 314ms, objective = 228
time: 324ms, objective = 226
time: 336ms, objective = 225
time: 345ms, objective = 222
time: 356ms, objective = 221
time: 368ms, objective = 220
time: 376ms, objective = 219
time: 385ms, objective = 218
time: 393ms, objective = 217
time: 401ms, objective = 215
time: 409ms, objective = 214
time: 417ms, objective = 213
time: 425ms, objective = 211
time: 433ms, objective = 210
time: 441ms, objective = 208
time: 450ms, objective = 205
time: 457ms, objective = 204
time: 465ms, objective = 203
time: 483ms, objective = 201
time: 491ms, objective = 200
time: 499ms, objective = 199
time: 505ms, objective = 198
time: 513ms, objective = 197
time: 520ms, objective = 196
time: 528ms, objective = 192
time: 535ms, objective = 191
time: 542ms, objective = 189
time: 548ms, objective = 186
time: 556ms, objective = 184
time: 563ms, objective = 183
time: 571ms, objective = 182
time: 577ms, objective = 181
time: 584ms, objective = 180
time: 591ms, objective = 179
time: 597ms, objective = 178
time: 604ms, objective = 177
time: 610ms, objective = 174
time: 617ms, objective = 173
time: 624ms, objective = 172
time: 631ms, objective = 171
time: 637ms, objective = 170
time: 644ms, objective = 169
time: 651ms, objective = 162
time: 658ms, objective = 161
time: 665ms, objective = 159
time: 671ms, objective = 158
time: 679ms, objective = 157
time: 685ms, objective = 156
time: 692ms, objective = 155
time: 698ms, objective = 154
time: 706ms, objective = 152
time: 713ms, objective = 151
time: 720ms, objective = 150
time: 727ms, objective = 149
time: 735ms, objective = 148
time: 742ms, objective = 146
time: 749ms, objective = 145
time: 758ms, objective = 144
time: 764ms, objective = 143
time: 771ms, objective = 139
time: 777ms, objective = 138
time: 785ms, objective = 137
time: 792ms, objective = 136
time: 798ms, objective = 135
time: 805ms, objective = 134
time: 811ms, objective = 133
time: 817ms, objective = 132
time: 824ms, objective = 131
time: 829ms, objective = 130
time: 835ms, objective = 127
time: 841ms, objective = 124
time: 846ms, objective = 123
time: 853ms, objective = 122
time: 859ms, objective = 120
time: 865ms, objective = 119
time: 871ms, objective = 117
time: 877ms, objective = 116
time: 883ms, objective = 115
time: 888ms, objective = 113
time: 894ms, objective = 112
time: 901ms, objective = 110
time: 907ms, objective = 109
time: 913ms, objective = 105
time: 921ms, objective = 104
time: 927ms, objective = 103
time: 933ms, objective = 100
time: 939ms, objective = 99
time: 944ms, objective = 98
time: 950ms, objective = 97
time: 957ms, objective = 95
time: 963ms, objective = 94
time: 969ms, objective = 93
time: 975ms, objective = 92
time: 981ms, objective = 89
time: 987ms, objective = 88
time: 991ms, objective = 87
time: 996ms, objective = 85
time: 1s, objective = 84
time: 1s, objective = 81
time: 1s, objective = 80
time: 1s, objective = 76
time: 1s, objective = 75
time: 1s, objective = 74
time: 1s, objective = 71
time: 1s, objective = 68
time: 1s, objective = 67
time: 1s, objective = 65
time: 1s, objective = 61
time: 1s, objective = 60
time: 1s, objective = 58
time: 1s, objective = 57
time: 1s, objective = 56
time: 1s, objective = 55
time: 1s, objective = 53
time: 1s, objective = 52
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 45
time: 1s, objective = 44
time: 1s, objective = 43
time: 1s, objective = 42
time: 1s, objective = 41
time: 1s, objective = 40
Found optimal solution with makespan 40 at time: 1s
