time: 254ms, objective = 220
time: 274ms, objective = 219
time: 282ms, objective = 218
time: 293ms, objective = 217
time: 300ms, objective = 216
time: 307ms, objective = 213
time: 315ms, objective = 210
time: 325ms, objective = 209
time: 333ms, objective = 208
time: 342ms, objective = 207
time: 349ms, objective = 206
time: 358ms, objective = 204
time: 368ms, objective = 203
time: 379ms, objective = 202
time: 389ms, objective = 201
time: 397ms, objective = 200
time: 405ms, objective = 198
time: 414ms, objective = 197
time: 423ms, objective = 196
time: 433ms, objective = 194
time: 442ms, objective = 193
time: 454ms, objective = 192
time: 464ms, objective = 190
time: 472ms, objective = 189
time: 480ms, objective = 187
time: 489ms, objective = 185
time: 507ms, objective = 184
time: 514ms, objective = 183
time: 521ms, objective = 182
time: 530ms, objective = 181
time: 539ms, objective = 179
time: 547ms, objective = 178
time: 556ms, objective = 177
time: 563ms, objective = 175
time: 575ms, objective = 174
time: 583ms, objective = 173
time: 591ms, objective = 171
time: 598ms, objective = 170
time: 606ms, objective = 169
time: 615ms, objective = 167
time: 626ms, objective = 166
time: 636ms, objective = 165
time: 645ms, objective = 164
time: 654ms, objective = 163
time: 664ms, objective = 161
time: 672ms, objective = 160
time: 682ms, objective = 159
time: 690ms, objective = 158
time: 697ms, objective = 156
time: 707ms, objective = 155
time: 714ms, objective = 152
time: 722ms, objective = 150
time: 731ms, objective = 149
time: 738ms, objective = 147
time: 745ms, objective = 146
time: 752ms, objective = 145
time: 765ms, objective = 144
time: 776ms, objective = 143
time: 784ms, objective = 141
time: 793ms, objective = 138
time: 804ms, objective = 136
time: 812ms, objective = 135
time: 823ms, objective = 133
time: 834ms, objective = 132
time: 843ms, objective = 131
time: 854ms, objective = 128
time: 866ms, objective = 127
time: 885ms, objective = 125
time: 899ms, objective = 124
time: 911ms, objective = 121
time: 919ms, objective = 120
time: 927ms, objective = 119
time: 936ms, objective = 117
time: 945ms, objective = 115
time: 961ms, objective = 114
time: 970ms, objective = 113
time: 978ms, objective = 112
time: 985ms, objective = 111
time: 992ms, objective = 108
time: 997ms, objective = 107
time: 1s, objective = 106
time: 1s, objective = 103
time: 1s, objective = 101
time: 1s, objective = 100
time: 1s, objective = 98
time: 1s, objective = 96
time: 1s, objective = 93
time: 1s, objective = 92
time: 1s, objective = 91
time: 1s, objective = 90
time: 1s, objective = 89
time: 1s, objective = 88
time: 1s, objective = 86
time: 1s, objective = 85
time: 1s, objective = 84
time: 1s, objective = 82
time: 1s, objective = 81
time: 1s, objective = 80
time: 1s, objective = 79
time: 1s, objective = 77
time: 1s, objective = 76
time: 1s, objective = 75
time: 1s, objective = 73
time: 1s, objective = 72
time: 1s, objective = 70
time: 1s, objective = 68
time: 1s, objective = 67
time: 1s, objective = 66
time: 1s, objective = 64
time: 1s, objective = 62
time: 1s, objective = 61
time: 1s, objective = 60
time: 1s, objective = 59
time: 1s, objective = 57
time: 1s, objective = 56
time: 1s, objective = 55
time: 1s, objective = 54
time: 1s, objective = 53
time: 1s, objective = 52
time: 1s, objective = 51
time: 1s, objective = 49
time: 1s, objective = 47
time: 1s, objective = 46
time: 1s, objective = 45
time: 1s, objective = 44
time: 1s, objective = 42
time: 1s, objective = 40
time: 1s, objective = 37
time: 1s, objective = 35
time: 1s, objective = 34
time: 1s, objective = 33
time: 1s, objective = 32
time: 1s, objective = 31
Found optimal solution with makespan 31 at time: 1s
