vars = 31977, values = 31501time: 200ms, objective = 40
time: 207ms, objective = 39
time: 210ms, objective = 37
time: 213ms, objective = 36
time: 216ms, objective = 35
time: 219ms, objective = 34
time: 222ms, objective = 33
time: 224ms, objective = 32
time: 227ms, objective = 31
time: 230ms, objective = 30
time: 233ms, objective = 29
time: 236ms, objective = 28
time: 238ms, objective = 27
time: 242ms, objective = 26
time: 244ms, objective = 25
time: 247ms, objective = 24
time: 250ms, objective = 23
Found optimal solution with makespan 23 at time: 251ms
