vars = 29663, values = 29221time: 219ms, objective = 83
time: 229ms, objective = 82
time: 237ms, objective = 81
time: 246ms, objective = 80
time: 252ms, objective = 79
time: 258ms, objective = 78
time: 264ms, objective = 75
time: 269ms, objective = 74
time: 274ms, objective = 73
time: 279ms, objective = 72
time: 285ms, objective = 71
time: 290ms, objective = 70
time: 295ms, objective = 69
time: 300ms, objective = 68
time: 305ms, objective = 67
time: 310ms, objective = 66
time: 316ms, objective = 65
time: 321ms, objective = 64
time: 326ms, objective = 63
time: 331ms, objective = 62
time: 352ms, objective = 61
time: 359ms, objective = 60
time: 364ms, objective = 59
time: 373ms, objective = 58
time: 442ms, objective = 57
time: 452ms, objective = 56
time: 470ms, objective = 55
time: 475ms, objective = 54
time: 482ms, objective = 53
time: 502ms, objective = 52
time: 515ms, objective = 51
time: 588ms, objective = 50
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 47
time: 3s, objective = 46
time: 4s, objective = 45
time: 7s, objective = 44
time: 12s, objective = 43
Found satisfiable solution with makespan 43 at time: 30s
