vars = 32835, values = 32341time: 194ms, objective = 55
time: 205ms, objective = 54
time: 208ms, objective = 53
time: 213ms, objective = 52
time: 216ms, objective = 50
time: 219ms, objective = 49
time: 222ms, objective = 48
time: 225ms, objective = 47
time: 231ms, objective = 46
time: 234ms, objective = 45
time: 248ms, objective = 44
time: 252ms, objective = 43
time: 254ms, objective = 42
time: 261ms, objective = 41
time: 266ms, objective = 40
time: 268ms, objective = 39
time: 272ms, objective = 38
time: 275ms, objective = 37
Found optimal solution with makespan 37 at time: 276ms
