vars = 32591, values = 32101time: 191ms, objective = 60
time: 198ms, objective = 59
time: 203ms, objective = 58
time: 206ms, objective = 57
time: 209ms, objective = 56
time: 212ms, objective = 55
time: 216ms, objective = 54
time: 219ms, objective = 53
time: 228ms, objective = 52
time: 233ms, objective = 51
time: 238ms, objective = 50
time: 241ms, objective = 49
time: 244ms, objective = 48
time: 261ms, objective = 47
time: 277ms, objective = 46
time: 287ms, objective = 45
time: 295ms, objective = 44
time: 1s, objective = 43
time: 5s, objective = 42
Found satisfiable solution with makespan 42 at time: 31s
