vars = 32469, values = 31981time: 181ms, objective = 91
time: 191ms, objective = 90
time: 198ms, objective = 89
time: 205ms, objective = 88
time: 211ms, objective = 87
time: 217ms, objective = 86
time: 223ms, objective = 84
time: 230ms, objective = 82
time: 236ms, objective = 81
time: 241ms, objective = 80
time: 247ms, objective = 79
time: 252ms, objective = 78
time: 257ms, objective = 77
time: 263ms, objective = 76
time: 268ms, objective = 74
time: 275ms, objective = 73
time: 280ms, objective = 72
time: 284ms, objective = 71
time: 291ms, objective = 70
time: 296ms, objective = 69
time: 300ms, objective = 68
time: 308ms, objective = 67
time: 313ms, objective = 66
time: 318ms, objective = 65
time: 324ms, objective = 64
time: 329ms, objective = 63
time: 352ms, objective = 62
time: 356ms, objective = 58
time: 364ms, objective = 57
time: 383ms, objective = 56
time: 388ms, objective = 55
time: 396ms, objective = 54
time: 564ms, objective = 53
time: 602ms, objective = 52
time: 661ms, objective = 51
time: 1s, objective = 50
time: 1s, objective = 49
Found satisfiable solution with makespan 49 at time: 30s
