time: 222ms, objective = 86
time: 230ms, objective = 85
time: 235ms, objective = 83
time: 240ms, objective = 82
time: 246ms, objective = 81
time: 251ms, objective = 80
time: 255ms, objective = 79
time: 261ms, objective = 78
time: 266ms, objective = 77
time: 271ms, objective = 76
time: 277ms, objective = 75
time: 283ms, objective = 74
time: 288ms, objective = 73
time: 293ms, objective = 72
time: 305ms, objective = 71
time: 318ms, objective = 70
time: 329ms, objective = 69
time: 337ms, objective = 68
time: 342ms, objective = 67
time: 350ms, objective = 66
time: 458ms, objective = 65
time: 503ms, objective = 64
time: 523ms, objective = 63
time: 531ms, objective = 62
time: 541ms, objective = 61
time: 548ms, objective = 60
time: 555ms, objective = 59
time: 571ms, objective = 58
time: 579ms, objective = 57
time: 583ms, objective = 56
time: 1s, objective = 55
time: 9s, objective = 54
Found satisfiable solution with makespan 54 at time: 31s
