vars = 30025, values = 29581time: 186ms, objective = 177
time: 199ms, objective = 176
time: 207ms, objective = 174
time: 213ms, objective = 173
time: 230ms, objective = 172
time: 236ms, objective = 171
time: 243ms, objective = 170
time: 249ms, objective = 169
time: 255ms, objective = 167
time: 263ms, objective = 166
time: 268ms, objective = 165
time: 275ms, objective = 164
time: 282ms, objective = 163
time: 293ms, objective = 161
time: 299ms, objective = 160
time: 304ms, objective = 159
time: 310ms, objective = 158
time: 316ms, objective = 157
time: 322ms, objective = 156
time: 327ms, objective = 152
time: 334ms, objective = 148
time: 340ms, objective = 147
time: 345ms, objective = 146
time: 351ms, objective = 145
time: 355ms, objective = 144
time: 372ms, objective = 143
time: 377ms, objective = 140
time: 382ms, objective = 139
time: 387ms, objective = 137
time: 392ms, objective = 136
time: 398ms, objective = 133
time: 403ms, objective = 132
time: 409ms, objective = 129
time: 419ms, objective = 128
time: 425ms, objective = 127
time: 429ms, objective = 126
time: 434ms, objective = 125
time: 440ms, objective = 124
time: 444ms, objective = 121
time: 450ms, objective = 120
time: 455ms, objective = 119
time: 459ms, objective = 117
time: 464ms, objective = 116
time: 469ms, objective = 115
time: 473ms, objective = 114
time: 478ms, objective = 112
time: 483ms, objective = 111
time: 489ms, objective = 110
time: 493ms, objective = 109
time: 498ms, objective = 108
time: 503ms, objective = 107
time: 507ms, objective = 106
time: 512ms, objective = 105
time: 516ms, objective = 104
time: 520ms, objective = 102
time: 524ms, objective = 100
time: 528ms, objective = 97
time: 532ms, objective = 96
time: 537ms, objective = 95
time: 540ms, objective = 94
time: 545ms, objective = 93
time: 549ms, objective = 92
time: 553ms, objective = 90
time: 557ms, objective = 89
time: 560ms, objective = 88
time: 564ms, objective = 87
time: 569ms, objective = 86
time: 572ms, objective = 85
time: 577ms, objective = 84
time: 584ms, objective = 83
time: 588ms, objective = 82
time: 592ms, objective = 81
time: 595ms, objective = 80
time: 599ms, objective = 79
time: 603ms, objective = 78
time: 606ms, objective = 77
time: 611ms, objective = 76
time: 614ms, objective = 75
time: 618ms, objective = 74
time: 622ms, objective = 73
time: 626ms, objective = 72
time: 630ms, objective = 70
time: 634ms, objective = 69
time: 637ms, objective = 68
time: 641ms, objective = 67
time: 644ms, objective = 66
time: 648ms, objective = 65
time: 651ms, objective = 63
time: 656ms, objective = 62
time: 659ms, objective = 60
time: 664ms, objective = 59
time: 667ms, objective = 58
time: 671ms, objective = 57
time: 674ms, objective = 55
time: 678ms, objective = 54
time: 681ms, objective = 53
time: 684ms, objective = 52
time: 687ms, objective = 51
time: 690ms, objective = 50
time: 694ms, objective = 47
time: 697ms, objective = 46
time: 700ms, objective = 44
time: 703ms, objective = 43
time: 706ms, objective = 41
time: 709ms, objective = 40
time: 712ms, objective = 39
time: 715ms, objective = 38
time: 718ms, objective = 36
time: 721ms, objective = 35
time: 723ms, objective = 34
time: 726ms, objective = 33
time: 728ms, objective = 32
time: 731ms, objective = 31
time: 733ms, objective = 30
time: 736ms, objective = 29
time: 738ms, objective = 28
time: 741ms, objective = 27
time: 743ms, objective = 26
time: 745ms, objective = 25
Found optimal solution with makespan 25 at time: 747ms
