vars = 31371, values = 30901time: 321ms, objective = 53
time: 330ms, objective = 52
time: 336ms, objective = 51
time: 343ms, objective = 47
time: 349ms, objective = 45
time: 353ms, objective = 42
time: 358ms, objective = 41
time: 361ms, objective = 40
time: 364ms, objective = 39
time: 368ms, objective = 38
time: 372ms, objective = 37
time: 376ms, objective = 36
time: 380ms, objective = 35
time: 384ms, objective = 34
time: 387ms, objective = 33
time: 394ms, objective = 32
time: 398ms, objective = 31
time: 415ms, objective = 30
time: 420ms, objective = 29
time: 423ms, objective = 28
Found optimal solution with makespan 28 at time: 429ms
