time: 211ms, objective = 247
time: 237ms, objective = 246
time: 245ms, objective = 245
time: 252ms, objective = 244
time: 259ms, objective = 243
time: 265ms, objective = 242
time: 272ms, objective = 241
time: 278ms, objective = 240
time: 285ms, objective = 239
time: 291ms, objective = 238
time: 297ms, objective = 237
time: 302ms, objective = 236
time: 308ms, objective = 233
time: 314ms, objective = 232
time: 320ms, objective = 231
time: 325ms, objective = 228
time: 330ms, objective = 227
time: 337ms, objective = 226
time: 343ms, objective = 225
time: 348ms, objective = 222
time: 353ms, objective = 221
time: 359ms, objective = 219
time: 364ms, objective = 216
time: 369ms, objective = 215
time: 374ms, objective = 214
time: 380ms, objective = 212
time: 397ms, objective = 210
time: 402ms, objective = 209
time: 407ms, objective = 208
time: 412ms, objective = 207
time: 418ms, objective = 206
time: 424ms, objective = 203
time: 431ms, objective = 202
time: 437ms, objective = 201
time: 445ms, objective = 200
time: 452ms, objective = 198
time: 459ms, objective = 196
time: 466ms, objective = 195
time: 474ms, objective = 194
time: 481ms, objective = 193
time: 488ms, objective = 189
time: 494ms, objective = 187
time: 500ms, objective = 185
time: 506ms, objective = 182
time: 511ms, objective = 179
time: 517ms, objective = 178
time: 523ms, objective = 177
time: 528ms, objective = 176
time: 533ms, objective = 174
time: 538ms, objective = 173
time: 543ms, objective = 171
time: 548ms, objective = 170
time: 552ms, objective = 169
time: 558ms, objective = 167
time: 563ms, objective = 165
time: 568ms, objective = 164
time: 573ms, objective = 163
time: 577ms, objective = 162
time: 582ms, objective = 159
time: 587ms, objective = 158
time: 591ms, objective = 157
time: 596ms, objective = 154
time: 601ms, objective = 153
time: 606ms, objective = 151
time: 611ms, objective = 147
time: 616ms, objective = 146
time: 621ms, objective = 145
time: 625ms, objective = 143
time: 629ms, objective = 142
time: 634ms, objective = 140
time: 639ms, objective = 138
time: 643ms, objective = 136
time: 648ms, objective = 135
time: 652ms, objective = 134
time: 656ms, objective = 133
time: 661ms, objective = 132
time: 665ms, objective = 131
time: 670ms, objective = 129
time: 674ms, objective = 127
time: 678ms, objective = 126
time: 682ms, objective = 124
time: 688ms, objective = 122
time: 693ms, objective = 121
time: 698ms, objective = 120
time: 703ms, objective = 118
time: 708ms, objective = 117
time: 713ms, objective = 116
time: 718ms, objective = 115
time: 724ms, objective = 113
time: 729ms, objective = 112
time: 735ms, objective = 111
time: 740ms, objective = 110
time: 745ms, objective = 109
time: 750ms, objective = 108
time: 754ms, objective = 107
time: 759ms, objective = 106
time: 764ms, objective = 104
time: 768ms, objective = 101
time: 773ms, objective = 99
time: 777ms, objective = 98
time: 782ms, objective = 97
time: 787ms, objective = 96
time: 791ms, objective = 95
time: 795ms, objective = 93
time: 800ms, objective = 92
time: 804ms, objective = 91
time: 809ms, objective = 89
time: 814ms, objective = 88
time: 818ms, objective = 87
time: 822ms, objective = 85
time: 826ms, objective = 84
time: 830ms, objective = 83
time: 835ms, objective = 82
time: 839ms, objective = 77
time: 843ms, objective = 75
time: 847ms, objective = 74
time: 851ms, objective = 73
time: 855ms, objective = 72
time: 859ms, objective = 70
time: 864ms, objective = 67
time: 867ms, objective = 66
time: 871ms, objective = 64
time: 875ms, objective = 62
time: 879ms, objective = 61
time: 883ms, objective = 60
time: 887ms, objective = 59
time: 891ms, objective = 57
time: 895ms, objective = 56
time: 899ms, objective = 55
time: 902ms, objective = 54
time: 906ms, objective = 52
time: 909ms, objective = 51
time: 913ms, objective = 50
time: 916ms, objective = 49
time: 920ms, objective = 48
time: 923ms, objective = 45
time: 927ms, objective = 44
time: 931ms, objective = 43
time: 935ms, objective = 42
time: 940ms, objective = 41
time: 943ms, objective = 40
time: 947ms, objective = 39
time: 953ms, objective = 38
Found optimal solution with makespan 38 at time: 954ms
