vars = 30273, values = 29821time: 170ms, objective = 141
time: 181ms, objective = 139
time: 193ms, objective = 138
time: 204ms, objective = 131
time: 212ms, objective = 130
time: 224ms, objective = 129
time: 231ms, objective = 128
time: 241ms, objective = 127
time: 247ms, objective = 126
time: 257ms, objective = 125
time: 264ms, objective = 120
time: 273ms, objective = 119
time: 282ms, objective = 117
time: 291ms, objective = 116
time: 296ms, objective = 114
time: 306ms, objective = 112
time: 311ms, objective = 111
time: 322ms, objective = 110
time: 328ms, objective = 108
time: 338ms, objective = 107
time: 344ms, objective = 106
time: 354ms, objective = 105
time: 360ms, objective = 104
time: 368ms, objective = 103
time: 375ms, objective = 101
time: 394ms, objective = 100
time: 401ms, objective = 98
time: 409ms, objective = 97
time: 417ms, objective = 95
time: 425ms, objective = 94
time: 434ms, objective = 86
time: 441ms, objective = 85
time: 449ms, objective = 84
time: 455ms, objective = 83
time: 461ms, objective = 82
time: 469ms, objective = 81
time: 476ms, objective = 77
time: 484ms, objective = 75
time: 491ms, objective = 74
time: 497ms, objective = 73
time: 503ms, objective = 72
time: 509ms, objective = 70
time: 515ms, objective = 67
time: 521ms, objective = 66
time: 526ms, objective = 61
time: 532ms, objective = 60
time: 537ms, objective = 57
time: 543ms, objective = 55
time: 547ms, objective = 54
time: 552ms, objective = 53
time: 556ms, objective = 52
time: 561ms, objective = 51
time: 566ms, objective = 49
time: 570ms, objective = 48
time: 575ms, objective = 47
time: 579ms, objective = 46
time: 583ms, objective = 45
time: 587ms, objective = 44
time: 590ms, objective = 43
time: 595ms, objective = 42
time: 599ms, objective = 41
time: 603ms, objective = 40
time: 606ms, objective = 39
time: 610ms, objective = 38
time: 615ms, objective = 36
time: 618ms, objective = 35
time: 624ms, objective = 34
time: 627ms, objective = 33
time: 630ms, objective = 32
time: 633ms, objective = 31
time: 637ms, objective = 30
time: 640ms, objective = 29
time: 644ms, objective = 28
Found optimal solution with makespan 28 at time: 649ms
