vars = 33685, values = 33181time: 227ms, objective = 190
time: 244ms, objective = 184
time: 255ms, objective = 183
time: 265ms, objective = 182
time: 274ms, objective = 181
time: 285ms, objective = 179
time: 295ms, objective = 178
time: 304ms, objective = 177
time: 318ms, objective = 175
time: 328ms, objective = 174
time: 341ms, objective = 172
time: 353ms, objective = 169
time: 362ms, objective = 168
time: 372ms, objective = 164
time: 384ms, objective = 163
time: 399ms, objective = 162
time: 409ms, objective = 157
time: 421ms, objective = 135
time: 432ms, objective = 134
time: 441ms, objective = 124
time: 448ms, objective = 118
time: 456ms, objective = 117
time: 464ms, objective = 116
time: 474ms, objective = 115
time: 480ms, objective = 113
time: 501ms, objective = 109
time: 508ms, objective = 99
time: 516ms, objective = 98
time: 523ms, objective = 96
time: 530ms, objective = 95
time: 538ms, objective = 94
time: 544ms, objective = 90
time: 550ms, objective = 88
time: 558ms, objective = 87
time: 565ms, objective = 83
time: 572ms, objective = 82
time: 579ms, objective = 79
time: 585ms, objective = 75
time: 592ms, objective = 72
time: 598ms, objective = 71
time: 604ms, objective = 70
time: 609ms, objective = 68
time: 614ms, objective = 67
time: 620ms, objective = 65
time: 625ms, objective = 64
time: 630ms, objective = 63
time: 636ms, objective = 62
time: 641ms, objective = 61
time: 647ms, objective = 60
time: 651ms, objective = 59
time: 657ms, objective = 58
time: 662ms, objective = 57
time: 668ms, objective = 56
time: 673ms, objective = 55
time: 678ms, objective = 54
time: 683ms, objective = 53
time: 688ms, objective = 52
time: 702ms, objective = 51
time: 707ms, objective = 50
time: 731ms, objective = 49
time: 737ms, objective = 48
time: 742ms, objective = 47
time: 746ms, objective = 46
time: 751ms, objective = 45
time: 755ms, objective = 44
time: 760ms, objective = 43
time: 765ms, objective = 42
time: 770ms, objective = 41
time: 775ms, objective = 40
time: 795ms, objective = 39
time: 806ms, objective = 38
time: 856ms, objective = 37
Found optimal solution with makespan 37 at time: 4s
