time: 216ms, objective = 236
time: 235ms, objective = 224
time: 241ms, objective = 223
time: 247ms, objective = 222
time: 253ms, objective = 218
time: 259ms, objective = 217
time: 264ms, objective = 216
time: 271ms, objective = 215
time: 276ms, objective = 214
time: 282ms, objective = 212
time: 288ms, objective = 210
time: 294ms, objective = 208
time: 300ms, objective = 205
time: 306ms, objective = 204
time: 312ms, objective = 202
time: 318ms, objective = 201
time: 324ms, objective = 197
time: 329ms, objective = 193
time: 335ms, objective = 192
time: 341ms, objective = 191
time: 346ms, objective = 190
time: 352ms, objective = 188
time: 357ms, objective = 187
time: 363ms, objective = 186
time: 369ms, objective = 181
time: 374ms, objective = 180
time: 391ms, objective = 178
time: 397ms, objective = 176
time: 403ms, objective = 175
time: 408ms, objective = 174
time: 414ms, objective = 171
time: 419ms, objective = 168
time: 425ms, objective = 167
time: 430ms, objective = 165
time: 435ms, objective = 164
time: 440ms, objective = 163
time: 445ms, objective = 162
time: 450ms, objective = 160
time: 455ms, objective = 159
time: 459ms, objective = 158
time: 464ms, objective = 156
time: 469ms, objective = 153
time: 475ms, objective = 152
time: 480ms, objective = 151
time: 485ms, objective = 150
time: 490ms, objective = 147
time: 495ms, objective = 145
time: 500ms, objective = 144
time: 505ms, objective = 143
time: 510ms, objective = 142
time: 516ms, objective = 140
time: 521ms, objective = 139
time: 526ms, objective = 138
time: 531ms, objective = 137
time: 537ms, objective = 136
time: 542ms, objective = 134
time: 547ms, objective = 133
time: 552ms, objective = 132
time: 557ms, objective = 129
time: 563ms, objective = 127
time: 569ms, objective = 125
time: 575ms, objective = 124
time: 580ms, objective = 123
time: 585ms, objective = 122
time: 589ms, objective = 120
time: 595ms, objective = 118
time: 600ms, objective = 117
time: 606ms, objective = 116
time: 611ms, objective = 115
time: 615ms, objective = 114
time: 621ms, objective = 113
time: 626ms, objective = 112
time: 631ms, objective = 111
time: 636ms, objective = 110
time: 641ms, objective = 109
time: 646ms, objective = 107
time: 651ms, objective = 106
time: 655ms, objective = 105
time: 660ms, objective = 104
time: 665ms, objective = 103
time: 669ms, objective = 102
time: 674ms, objective = 101
time: 678ms, objective = 100
time: 682ms, objective = 99
time: 686ms, objective = 97
time: 691ms, objective = 96
time: 697ms, objective = 94
time: 702ms, objective = 90
time: 706ms, objective = 89
time: 710ms, objective = 87
time: 714ms, objective = 83
time: 718ms, objective = 82
time: 722ms, objective = 81
time: 725ms, objective = 80
time: 729ms, objective = 78
time: 733ms, objective = 76
time: 738ms, objective = 75
time: 743ms, objective = 72
time: 746ms, objective = 71
time: 750ms, objective = 70
time: 754ms, objective = 69
time: 758ms, objective = 68
time: 762ms, objective = 67
time: 765ms, objective = 66
time: 770ms, objective = 65
time: 774ms, objective = 64
time: 778ms, objective = 63
time: 782ms, objective = 62
time: 786ms, objective = 61
time: 789ms, objective = 60
time: 793ms, objective = 59
time: 796ms, objective = 57
time: 800ms, objective = 55
time: 804ms, objective = 54
time: 808ms, objective = 53
time: 811ms, objective = 52
time: 815ms, objective = 50
time: 818ms, objective = 49
time: 822ms, objective = 48
time: 825ms, objective = 46
time: 829ms, objective = 45
time: 832ms, objective = 44
time: 836ms, objective = 40
time: 840ms, objective = 39
time: 844ms, objective = 38
time: 847ms, objective = 37
time: 850ms, objective = 36
time: 853ms, objective = 35
time: 856ms, objective = 34
time: 859ms, objective = 33
time: 862ms, objective = 32
time: 865ms, objective = 30
time: 869ms, objective = 29
time: 883ms, objective = 28
Found optimal solution with makespan 28 at time: 887ms
