time: 220ms, objective = 236
time: 236ms, objective = 138
time: 243ms, objective = 137
time: 249ms, objective = 136
time: 255ms, objective = 134
time: 260ms, objective = 133
time: 266ms, objective = 132
time: 272ms, objective = 131
time: 279ms, objective = 130
time: 285ms, objective = 128
time: 291ms, objective = 127
time: 297ms, objective = 125
time: 303ms, objective = 120
time: 309ms, objective = 119
time: 314ms, objective = 117
time: 323ms, objective = 116
time: 330ms, objective = 115
time: 337ms, objective = 114
time: 344ms, objective = 113
time: 350ms, objective = 112
time: 355ms, objective = 110
time: 364ms, objective = 109
time: 371ms, objective = 108
time: 377ms, objective = 106
time: 384ms, objective = 105
time: 390ms, objective = 103
time: 406ms, objective = 101
time: 413ms, objective = 99
time: 419ms, objective = 97
time: 426ms, objective = 95
time: 431ms, objective = 94
time: 437ms, objective = 93
time: 445ms, objective = 92
time: 451ms, objective = 91
time: 458ms, objective = 89
time: 465ms, objective = 87
time: 472ms, objective = 85
time: 478ms, objective = 83
time: 485ms, objective = 81
time: 491ms, objective = 79
time: 497ms, objective = 78
time: 502ms, objective = 76
time: 509ms, objective = 75
time: 514ms, objective = 74
time: 518ms, objective = 73
time: 523ms, objective = 72
time: 528ms, objective = 71
time: 533ms, objective = 70
time: 538ms, objective = 69
time: 543ms, objective = 66
time: 548ms, objective = 65
time: 552ms, objective = 64
time: 557ms, objective = 63
time: 562ms, objective = 62
time: 567ms, objective = 59
time: 571ms, objective = 58
time: 577ms, objective = 57
time: 581ms, objective = 55
time: 586ms, objective = 54
time: 590ms, objective = 53
time: 595ms, objective = 52
time: 599ms, objective = 51
time: 604ms, objective = 50
time: 609ms, objective = 49
time: 614ms, objective = 48
time: 619ms, objective = 47
time: 623ms, objective = 46
time: 629ms, objective = 45
time: 634ms, objective = 44
time: 639ms, objective = 42
time: 644ms, objective = 41
time: 648ms, objective = 40
time: 654ms, objective = 39
time: 658ms, objective = 38
time: 665ms, objective = 37
time: 670ms, objective = 36
time: 675ms, objective = 35
time: 679ms, objective = 34
time: 685ms, objective = 33
time: 692ms, objective = 32
time: 706ms, objective = 31
time: 712ms, objective = 30
time: 719ms, objective = 29
Found optimal solution with makespan 29 at time: 724ms
