time: 243ms, objective = 226
time: 258ms, objective = 225
time: 264ms, objective = 224
time: 269ms, objective = 223
time: 275ms, objective = 222
time: 282ms, objective = 221
time: 288ms, objective = 220
time: 294ms, objective = 219
time: 300ms, objective = 215
time: 306ms, objective = 213
time: 311ms, objective = 212
time: 316ms, objective = 211
time: 321ms, objective = 210
time: 327ms, objective = 209
time: 332ms, objective = 206
time: 337ms, objective = 204
time: 342ms, objective = 202
time: 347ms, objective = 200
time: 352ms, objective = 199
time: 358ms, objective = 198
time: 363ms, objective = 197
time: 369ms, objective = 195
time: 374ms, objective = 194
time: 378ms, objective = 193
time: 384ms, objective = 192
time: 389ms, objective = 190
time: 405ms, objective = 185
time: 410ms, objective = 184
time: 415ms, objective = 183
time: 420ms, objective = 182
time: 425ms, objective = 181
time: 430ms, objective = 179
time: 435ms, objective = 175
time: 440ms, objective = 174
time: 445ms, objective = 173
time: 450ms, objective = 171
time: 456ms, objective = 169
time: 461ms, objective = 167
time: 466ms, objective = 164
time: 471ms, objective = 162
time: 476ms, objective = 161
time: 481ms, objective = 156
time: 486ms, objective = 155
time: 490ms, objective = 154
time: 495ms, objective = 153
time: 500ms, objective = 152
time: 504ms, objective = 150
time: 509ms, objective = 149
time: 513ms, objective = 146
time: 518ms, objective = 145
time: 523ms, objective = 144
time: 527ms, objective = 142
time: 531ms, objective = 140
time: 536ms, objective = 139
time: 541ms, objective = 138
time: 545ms, objective = 137
time: 549ms, objective = 136
time: 554ms, objective = 134
time: 558ms, objective = 133
time: 563ms, objective = 131
time: 567ms, objective = 130
time: 571ms, objective = 129
time: 576ms, objective = 128
time: 580ms, objective = 127
time: 584ms, objective = 125
time: 589ms, objective = 121
time: 593ms, objective = 118
time: 598ms, objective = 117
time: 602ms, objective = 116
time: 607ms, objective = 115
time: 611ms, objective = 112
time: 615ms, objective = 110
time: 619ms, objective = 109
time: 623ms, objective = 108
time: 627ms, objective = 105
time: 632ms, objective = 103
time: 636ms, objective = 102
time: 640ms, objective = 101
time: 643ms, objective = 100
time: 648ms, objective = 99
time: 653ms, objective = 98
time: 656ms, objective = 96
time: 660ms, objective = 95
time: 664ms, objective = 93
time: 668ms, objective = 92
time: 672ms, objective = 90
time: 676ms, objective = 89
time: 680ms, objective = 88
time: 683ms, objective = 84
time: 687ms, objective = 83
time: 691ms, objective = 82
time: 695ms, objective = 81
time: 698ms, objective = 80
time: 702ms, objective = 79
time: 705ms, objective = 78
time: 710ms, objective = 77
time: 714ms, objective = 76
time: 718ms, objective = 71
time: 721ms, objective = 69
time: 725ms, objective = 68
time: 728ms, objective = 66
time: 732ms, objective = 65
time: 735ms, objective = 64
time: 739ms, objective = 63
time: 743ms, objective = 61
time: 747ms, objective = 58
time: 750ms, objective = 55
time: 753ms, objective = 54
time: 756ms, objective = 53
time: 760ms, objective = 52
time: 762ms, objective = 51
time: 766ms, objective = 50
time: 769ms, objective = 49
time: 773ms, objective = 48
time: 775ms, objective = 47
time: 780ms, objective = 46
time: 783ms, objective = 45
time: 787ms, objective = 44
time: 791ms, objective = 43
time: 795ms, objective = 42
time: 798ms, objective = 41
time: 802ms, objective = 40
time: 807ms, objective = 39
Found optimal solution with makespan 39 at time: 808ms
