time: 201ms, objective = 217
time: 216ms, objective = 201
time: 224ms, objective = 199
time: 229ms, objective = 197
time: 234ms, objective = 195
time: 239ms, objective = 194
time: 244ms, objective = 192
time: 248ms, objective = 191
time: 253ms, objective = 188
time: 259ms, objective = 187
time: 264ms, objective = 185
time: 270ms, objective = 184
time: 275ms, objective = 183
time: 281ms, objective = 181
time: 286ms, objective = 179
time: 290ms, objective = 178
time: 296ms, objective = 176
time: 302ms, objective = 175
time: 309ms, objective = 174
time: 314ms, objective = 173
time: 322ms, objective = 172
time: 330ms, objective = 171
time: 337ms, objective = 170
time: 343ms, objective = 169
time: 349ms, objective = 168
time: 355ms, objective = 167
time: 372ms, objective = 165
time: 377ms, objective = 164
time: 382ms, objective = 163
time: 387ms, objective = 162
time: 392ms, objective = 161
time: 396ms, objective = 160
time: 401ms, objective = 159
time: 405ms, objective = 158
time: 409ms, objective = 157
time: 413ms, objective = 156
time: 417ms, objective = 155
time: 422ms, objective = 153
time: 426ms, objective = 150
time: 431ms, objective = 147
time: 438ms, objective = 146
time: 445ms, objective = 145
time: 450ms, objective = 142
time: 455ms, objective = 141
time: 460ms, objective = 140
time: 464ms, objective = 139
time: 469ms, objective = 137
time: 473ms, objective = 135
time: 478ms, objective = 134
time: 482ms, objective = 133
time: 486ms, objective = 132
time: 490ms, objective = 128
time: 494ms, objective = 127
time: 498ms, objective = 125
time: 502ms, objective = 124
time: 507ms, objective = 123
time: 511ms, objective = 122
time: 515ms, objective = 120
time: 520ms, objective = 117
time: 523ms, objective = 116
time: 527ms, objective = 115
time: 531ms, objective = 114
time: 536ms, objective = 113
time: 540ms, objective = 112
time: 544ms, objective = 111
time: 548ms, objective = 110
time: 553ms, objective = 109
time: 557ms, objective = 106
time: 562ms, objective = 105
time: 569ms, objective = 104
time: 574ms, objective = 103
time: 579ms, objective = 102
time: 586ms, objective = 101
time: 591ms, objective = 98
time: 595ms, objective = 95
time: 599ms, objective = 94
time: 603ms, objective = 93
time: 607ms, objective = 92
time: 611ms, objective = 91
time: 615ms, objective = 89
time: 619ms, objective = 87
time: 623ms, objective = 85
time: 626ms, objective = 84
time: 630ms, objective = 83
time: 633ms, objective = 82
time: 637ms, objective = 81
time: 640ms, objective = 80
time: 644ms, objective = 78
time: 648ms, objective = 76
time: 652ms, objective = 75
time: 655ms, objective = 74
time: 659ms, objective = 72
time: 663ms, objective = 71
time: 666ms, objective = 70
time: 670ms, objective = 67
time: 674ms, objective = 66
time: 677ms, objective = 64
time: 680ms, objective = 63
time: 683ms, objective = 62
time: 686ms, objective = 60
time: 689ms, objective = 59
time: 692ms, objective = 58
time: 695ms, objective = 57
time: 698ms, objective = 54
time: 702ms, objective = 53
time: 705ms, objective = 52
time: 708ms, objective = 51
time: 710ms, objective = 50
time: 713ms, objective = 49
time: 716ms, objective = 48
time: 722ms, objective = 47
time: 725ms, objective = 46
time: 728ms, objective = 45
time: 731ms, objective = 44
time: 736ms, objective = 43
time: 739ms, objective = 42
time: 742ms, objective = 41
time: 745ms, objective = 40
time: 749ms, objective = 39
time: 758ms, objective = 38
time: 768ms, objective = 37
time: 773ms, objective = 36
time: 787ms, objective = 35
Found optimal solution with makespan 35 at time: 790ms
