vars = 32221, values = 31741time: 183ms, objective = 241
time: 194ms, objective = 236
time: 203ms, objective = 235
time: 213ms, objective = 234
time: 226ms, objective = 210
time: 237ms, objective = 209
time: 245ms, objective = 199
time: 253ms, objective = 198
time: 260ms, objective = 193
time: 269ms, objective = 192
time: 275ms, objective = 190
time: 284ms, objective = 189
time: 290ms, objective = 186
time: 303ms, objective = 185
time: 309ms, objective = 184
time: 317ms, objective = 183
time: 323ms, objective = 181
time: 330ms, objective = 180
time: 338ms, objective = 176
time: 345ms, objective = 175
time: 351ms, objective = 170
time: 358ms, objective = 169
time: 364ms, objective = 154
time: 371ms, objective = 153
time: 377ms, objective = 138
time: 396ms, objective = 137
time: 401ms, objective = 127
time: 407ms, objective = 126
time: 413ms, objective = 121
time: 419ms, objective = 120
time: 424ms, objective = 102
time: 430ms, objective = 101
time: 435ms, objective = 99
time: 440ms, objective = 98
time: 447ms, objective = 92
time: 452ms, objective = 88
time: 457ms, objective = 87
time: 462ms, objective = 70
time: 466ms, objective = 62
time: 471ms, objective = 61
time: 475ms, objective = 59
time: 478ms, objective = 58
time: 483ms, objective = 46
time: 487ms, objective = 45
time: 491ms, objective = 44
time: 494ms, objective = 42
time: 497ms, objective = 41
time: 499ms, objective = 40
time: 502ms, objective = 39
time: 506ms, objective = 38
time: 509ms, objective = 37
time: 519ms, objective = 36
Found optimal solution with makespan 36 at time: 526ms
