vars = 32953, values = 32461time: 197ms, objective = 57
time: 210ms, objective = 56
time: 214ms, objective = 50
time: 218ms, objective = 49
time: 221ms, objective = 47
time: 223ms, objective = 46
time: 228ms, objective = 45
time: 231ms, objective = 44
time: 234ms, objective = 43
time: 237ms, objective = 40
time: 239ms, objective = 39
time: 242ms, objective = 38
time: 244ms, objective = 37
time: 247ms, objective = 36
time: 249ms, objective = 35
time: 251ms, objective = 34
time: 253ms, objective = 33
time: 256ms, objective = 32
time: 259ms, objective = 31
time: 261ms, objective = 30
time: 264ms, objective = 29
time: 266ms, objective = 28
Found optimal solution with makespan 28 at time: 268ms
