vars = 31371, values = 30901time: 212ms, objective = 54
time: 222ms, objective = 53
time: 227ms, objective = 52
time: 233ms, objective = 49
time: 236ms, objective = 48
time: 240ms, objective = 47
time: 245ms, objective = 46
time: 251ms, objective = 45
time: 255ms, objective = 42
time: 260ms, objective = 41
time: 264ms, objective = 40
time: 271ms, objective = 39
time: 281ms, objective = 38
time: 286ms, objective = 37
time: 355ms, objective = 36
time: 435ms, objective = 35
time: 465ms, objective = 34
Found optimal solution with makespan 34 at time: 2s
