time: 218ms, objective = 245
time: 241ms, objective = 244
time: 250ms, objective = 243
time: 258ms, objective = 242
time: 265ms, objective = 241
time: 272ms, objective = 240
time: 280ms, objective = 239
time: 287ms, objective = 238
time: 294ms, objective = 237
time: 302ms, objective = 235
time: 310ms, objective = 234
time: 317ms, objective = 233
time: 324ms, objective = 230
time: 333ms, objective = 229
time: 340ms, objective = 228
time: 349ms, objective = 226
time: 358ms, objective = 225
time: 368ms, objective = 224
time: 377ms, objective = 223
time: 385ms, objective = 220
time: 393ms, objective = 219
time: 399ms, objective = 218
time: 408ms, objective = 217
time: 416ms, objective = 216
time: 423ms, objective = 214
time: 429ms, objective = 213
time: 448ms, objective = 211
time: 455ms, objective = 210
time: 462ms, objective = 209
time: 469ms, objective = 207
time: 476ms, objective = 205
time: 482ms, objective = 204
time: 488ms, objective = 203
time: 495ms, objective = 202
time: 503ms, objective = 201
time: 509ms, objective = 200
time: 519ms, objective = 199
time: 527ms, objective = 198
time: 534ms, objective = 197
time: 540ms, objective = 196
time: 548ms, objective = 195
time: 555ms, objective = 193
time: 563ms, objective = 191
time: 569ms, objective = 188
time: 576ms, objective = 187
time: 585ms, objective = 186
time: 592ms, objective = 185
time: 599ms, objective = 184
time: 606ms, objective = 183
time: 613ms, objective = 182
time: 619ms, objective = 178
time: 625ms, objective = 177
time: 632ms, objective = 176
time: 638ms, objective = 175
time: 644ms, objective = 173
time: 650ms, objective = 172
time: 656ms, objective = 171
time: 663ms, objective = 170
time: 669ms, objective = 169
time: 675ms, objective = 166
time: 681ms, objective = 165
time: 687ms, objective = 164
time: 693ms, objective = 163
time: 700ms, objective = 162
time: 705ms, objective = 161
time: 713ms, objective = 160
time: 720ms, objective = 159
time: 727ms, objective = 158
time: 732ms, objective = 157
time: 739ms, objective = 154
time: 746ms, objective = 152
time: 752ms, objective = 149
time: 759ms, objective = 148
time: 764ms, objective = 146
time: 771ms, objective = 145
time: 779ms, objective = 144
time: 786ms, objective = 143
time: 791ms, objective = 140
time: 797ms, objective = 139
time: 804ms, objective = 135
time: 810ms, objective = 133
time: 816ms, objective = 131
time: 821ms, objective = 130
time: 827ms, objective = 128
time: 834ms, objective = 127
time: 840ms, objective = 126
time: 846ms, objective = 125
time: 853ms, objective = 124
time: 859ms, objective = 123
time: 865ms, objective = 122
time: 870ms, objective = 120
time: 877ms, objective = 116
time: 884ms, objective = 115
time: 890ms, objective = 114
time: 896ms, objective = 113
time: 901ms, objective = 109
time: 907ms, objective = 108
time: 913ms, objective = 107
time: 919ms, objective = 104
time: 925ms, objective = 102
time: 930ms, objective = 101
time: 936ms, objective = 100
time: 942ms, objective = 99
time: 947ms, objective = 97
time: 953ms, objective = 94
time: 958ms, objective = 93
time: 964ms, objective = 92
time: 970ms, objective = 91
time: 975ms, objective = 89
time: 980ms, objective = 87
time: 985ms, objective = 84
time: 990ms, objective = 83
time: 996ms, objective = 82
time: 1s, objective = 81
time: 1s, objective = 80
time: 1s, objective = 79
time: 1s, objective = 78
time: 1s, objective = 76
time: 1s, objective = 73
time: 1s, objective = 71
time: 1s, objective = 68
time: 1s, objective = 66
time: 1s, objective = 65
time: 1s, objective = 64
time: 1s, objective = 63
time: 1s, objective = 62
time: 1s, objective = 61
time: 1s, objective = 60
time: 1s, objective = 59
time: 1s, objective = 57
time: 1s, objective = 55
time: 1s, objective = 54
time: 1s, objective = 53
time: 1s, objective = 51
time: 1s, objective = 50
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 47
time: 1s, objective = 46
time: 1s, objective = 45
time: 1s, objective = 44
time: 1s, objective = 43
time: 1s, objective = 42
time: 1s, objective = 41
time: 1s, objective = 40
time: 1s, objective = 39
time: 1s, objective = 36
time: 1s, objective = 35
time: 1s, objective = 34
time: 1s, objective = 33
time: 1s, objective = 32
time: 1s, objective = 31
time: 1s, objective = 30
time: 1s, objective = 29
Found optimal solution with makespan 29 at time: 1s
