vars = 32831, values = 32341time: 201ms, objective = 53
time: 212ms, objective = 52
time: 217ms, objective = 51
time: 220ms, objective = 50
time: 223ms, objective = 49
time: 227ms, objective = 47
time: 230ms, objective = 45
time: 233ms, objective = 44
time: 236ms, objective = 43
time: 239ms, objective = 42
time: 242ms, objective = 41
time: 245ms, objective = 40
time: 257ms, objective = 39
time: 296ms, objective = 38
time: 301ms, objective = 37
time: 308ms, objective = 36
time: 340ms, objective = 35
time: 457ms, objective = 34
time: 2s, objective = 33
Found optimal solution with makespan 33 at time: 3s
