time: 831ms, objective = 242
time: 852ms, objective = 241
time: 861ms, objective = 238
time: 869ms, objective = 237
time: 876ms, objective = 236
time: 886ms, objective = 235
time: 894ms, objective = 233
time: 901ms, objective = 232
time: 907ms, objective = 231
time: 914ms, objective = 230
time: 922ms, objective = 226
time: 928ms, objective = 225
time: 937ms, objective = 224
time: 944ms, objective = 223
time: 952ms, objective = 222
time: 960ms, objective = 219
time: 970ms, objective = 217
time: 978ms, objective = 216
time: 986ms, objective = 215
time: 994ms, objective = 214
time: 1s, objective = 213
time: 1s, objective = 212
time: 1s, objective = 211
time: 1s, objective = 210
time: 1s, objective = 207
time: 1s, objective = 204
time: 1s, objective = 200
time: 1s, objective = 197
time: 1s, objective = 194
time: 1s, objective = 193
time: 1s, objective = 192
time: 1s, objective = 189
time: 1s, objective = 188
time: 1s, objective = 187
time: 1s, objective = 184
time: 1s, objective = 181
time: 1s, objective = 180
time: 1s, objective = 178
time: 1s, objective = 175
time: 1s, objective = 174
time: 1s, objective = 170
time: 1s, objective = 169
time: 1s, objective = 167
time: 1s, objective = 165
time: 1s, objective = 164
time: 1s, objective = 163
time: 1s, objective = 162
time: 1s, objective = 160
time: 1s, objective = 159
time: 1s, objective = 157
time: 1s, objective = 154
time: 1s, objective = 152
time: 1s, objective = 148
time: 1s, objective = 145
time: 1s, objective = 144
time: 1s, objective = 141
time: 1s, objective = 140
time: 1s, objective = 138
time: 1s, objective = 137
time: 1s, objective = 136
time: 1s, objective = 135
time: 1s, objective = 133
time: 1s, objective = 130
time: 1s, objective = 129
time: 1s, objective = 128
time: 1s, objective = 125
time: 1s, objective = 123
time: 1s, objective = 122
time: 1s, objective = 120
time: 1s, objective = 119
time: 1s, objective = 118
time: 1s, objective = 117
time: 1s, objective = 116
time: 1s, objective = 115
time: 1s, objective = 114
time: 1s, objective = 112
time: 1s, objective = 111
time: 1s, objective = 110
time: 1s, objective = 109
time: 1s, objective = 106
time: 1s, objective = 102
time: 1s, objective = 101
time: 1s, objective = 98
time: 1s, objective = 97
time: 1s, objective = 96
time: 1s, objective = 94
time: 1s, objective = 93
time: 1s, objective = 92
time: 1s, objective = 91
time: 1s, objective = 89
time: 1s, objective = 87
time: 1s, objective = 86
time: 1s, objective = 84
time: 1s, objective = 83
time: 1s, objective = 81
time: 1s, objective = 79
time: 1s, objective = 78
time: 1s, objective = 77
time: 1s, objective = 75
time: 1s, objective = 74
time: 1s, objective = 72
time: 1s, objective = 71
time: 2s, objective = 69
time: 2s, objective = 66
time: 2s, objective = 65
time: 2s, objective = 61
time: 2s, objective = 60
time: 2s, objective = 58
time: 2s, objective = 57
time: 2s, objective = 56
time: 2s, objective = 55
time: 2s, objective = 53
time: 2s, objective = 52
time: 2s, objective = 51
time: 2s, objective = 50
time: 2s, objective = 49
time: 2s, objective = 48
time: 2s, objective = 47
time: 2s, objective = 46
time: 2s, objective = 45
time: 5s, objective = 44
time: 5s, objective = 43
Found satisfiable solution with makespan 43 at time: 31s
