time: 246ms, objective = 223
time: 268ms, objective = 222
time: 276ms, objective = 221
time: 283ms, objective = 220
time: 292ms, objective = 218
time: 301ms, objective = 217
time: 311ms, objective = 216
time: 319ms, objective = 215
time: 327ms, objective = 214
time: 336ms, objective = 213
time: 343ms, objective = 212
time: 350ms, objective = 208
time: 357ms, objective = 206
time: 363ms, objective = 205
time: 370ms, objective = 203
time: 376ms, objective = 201
time: 383ms, objective = 200
time: 390ms, objective = 198
time: 397ms, objective = 195
time: 405ms, objective = 194
time: 412ms, objective = 189
time: 418ms, objective = 188
time: 424ms, objective = 186
time: 431ms, objective = 184
time: 439ms, objective = 182
time: 446ms, objective = 181
time: 464ms, objective = 180
time: 470ms, objective = 178
time: 476ms, objective = 177
time: 483ms, objective = 176
time: 489ms, objective = 175
time: 496ms, objective = 174
time: 505ms, objective = 173
time: 514ms, objective = 172
time: 524ms, objective = 171
time: 532ms, objective = 170
time: 537ms, objective = 169
time: 544ms, objective = 168
time: 550ms, objective = 167
time: 556ms, objective = 163
time: 562ms, objective = 162
time: 567ms, objective = 160
time: 574ms, objective = 159
time: 580ms, objective = 157
time: 586ms, objective = 154
time: 592ms, objective = 153
time: 599ms, objective = 152
time: 605ms, objective = 151
time: 611ms, objective = 150
time: 619ms, objective = 149
time: 630ms, objective = 148
time: 638ms, objective = 146
time: 645ms, objective = 145
time: 652ms, objective = 144
time: 659ms, objective = 142
time: 666ms, objective = 140
time: 673ms, objective = 138
time: 680ms, objective = 137
time: 687ms, objective = 131
time: 694ms, objective = 128
time: 702ms, objective = 127
time: 708ms, objective = 126
time: 714ms, objective = 125
time: 722ms, objective = 122
time: 731ms, objective = 121
time: 740ms, objective = 119
time: 746ms, objective = 118
time: 751ms, objective = 115
time: 757ms, objective = 112
time: 762ms, objective = 111
time: 768ms, objective = 109
time: 773ms, objective = 108
time: 780ms, objective = 105
time: 788ms, objective = 104
time: 794ms, objective = 103
time: 799ms, objective = 102
time: 804ms, objective = 101
time: 809ms, objective = 100
time: 814ms, objective = 97
time: 820ms, objective = 96
time: 824ms, objective = 95
time: 829ms, objective = 92
time: 834ms, objective = 91
time: 840ms, objective = 89
time: 844ms, objective = 88
time: 849ms, objective = 86
time: 855ms, objective = 85
time: 860ms, objective = 84
time: 866ms, objective = 83
time: 872ms, objective = 82
time: 877ms, objective = 81
time: 882ms, objective = 80
time: 887ms, objective = 79
time: 893ms, objective = 78
time: 898ms, objective = 77
time: 904ms, objective = 75
time: 910ms, objective = 73
time: 915ms, objective = 72
time: 920ms, objective = 71
time: 926ms, objective = 70
time: 931ms, objective = 69
time: 937ms, objective = 68
time: 944ms, objective = 66
time: 949ms, objective = 65
time: 955ms, objective = 64
time: 961ms, objective = 61
time: 966ms, objective = 60
time: 970ms, objective = 59
time: 975ms, objective = 57
time: 980ms, objective = 54
time: 985ms, objective = 53
time: 991ms, objective = 52
time: 996ms, objective = 51
time: 1s, objective = 50
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 46
time: 1s, objective = 45
time: 1s, objective = 42
time: 1s, objective = 41
time: 1s, objective = 40
time: 1s, objective = 39
time: 1s, objective = 38
time: 1s, objective = 37
time: 1s, objective = 36
time: 1s, objective = 35
time: 1s, objective = 33
time: 1s, objective = 32
time: 1s, objective = 31
time: 1s, objective = 30
time: 1s, objective = 29
time: 1s, objective = 27
time: 1s, objective = 25
Found optimal solution with makespan 25 at time: 1s
