time: 240ms, objective = 245
time: 261ms, objective = 244
time: 270ms, objective = 243
time: 280ms, objective = 242
time: 292ms, objective = 240
time: 301ms, objective = 239
time: 309ms, objective = 238
time: 319ms, objective = 237
time: 328ms, objective = 236
time: 337ms, objective = 233
time: 344ms, objective = 232
time: 354ms, objective = 231
time: 362ms, objective = 226
time: 370ms, objective = 224
time: 380ms, objective = 221
time: 389ms, objective = 214
time: 401ms, objective = 213
time: 411ms, objective = 212
time: 422ms, objective = 210
time: 431ms, objective = 209
time: 439ms, objective = 206
time: 448ms, objective = 205
time: 459ms, objective = 204
time: 467ms, objective = 203
time: 476ms, objective = 201
time: 486ms, objective = 200
time: 505ms, objective = 199
time: 514ms, objective = 198
time: 527ms, objective = 195
time: 534ms, objective = 194
time: 541ms, objective = 193
time: 549ms, objective = 192
time: 560ms, objective = 190
time: 569ms, objective = 188
time: 576ms, objective = 187
time: 586ms, objective = 183
time: 595ms, objective = 182
time: 606ms, objective = 181
time: 614ms, objective = 180
time: 624ms, objective = 179
time: 631ms, objective = 177
time: 638ms, objective = 175
time: 645ms, objective = 173
time: 655ms, objective = 170
time: 662ms, objective = 169
time: 668ms, objective = 167
time: 675ms, objective = 166
time: 683ms, objective = 165
time: 692ms, objective = 164
time: 697ms, objective = 163
time: 703ms, objective = 161
time: 710ms, objective = 158
time: 719ms, objective = 155
time: 727ms, objective = 154
time: 732ms, objective = 153
time: 738ms, objective = 151
time: 746ms, objective = 150
time: 755ms, objective = 149
time: 761ms, objective = 144
time: 766ms, objective = 142
time: 773ms, objective = 139
time: 779ms, objective = 135
time: 786ms, objective = 134
time: 794ms, objective = 132
time: 802ms, objective = 130
time: 809ms, objective = 129
time: 815ms, objective = 128
time: 824ms, objective = 127
time: 830ms, objective = 126
time: 835ms, objective = 125
time: 842ms, objective = 124
time: 851ms, objective = 123
time: 859ms, objective = 122
time: 864ms, objective = 121
time: 870ms, objective = 120
time: 876ms, objective = 119
time: 883ms, objective = 118
time: 891ms, objective = 117
time: 897ms, objective = 116
time: 903ms, objective = 115
time: 909ms, objective = 113
time: 916ms, objective = 111
time: 927ms, objective = 110
time: 933ms, objective = 109
time: 939ms, objective = 108
time: 948ms, objective = 107
time: 957ms, objective = 105
time: 964ms, objective = 104
time: 970ms, objective = 99
time: 976ms, objective = 98
time: 984ms, objective = 97
time: 992ms, objective = 96
time: 997ms, objective = 93
time: 1s, objective = 91
time: 1s, objective = 90
time: 1s, objective = 89
time: 1s, objective = 88
time: 1s, objective = 87
time: 1s, objective = 85
time: 1s, objective = 84
time: 1s, objective = 83
time: 1s, objective = 82
time: 1s, objective = 81
time: 1s, objective = 79
time: 1s, objective = 78
time: 1s, objective = 77
time: 1s, objective = 75
time: 1s, objective = 73
time: 1s, objective = 72
time: 1s, objective = 71
time: 1s, objective = 70
time: 1s, objective = 69
time: 1s, objective = 68
time: 1s, objective = 67
time: 1s, objective = 66
time: 1s, objective = 65
time: 1s, objective = 64
time: 1s, objective = 63
time: 1s, objective = 62
time: 1s, objective = 61
time: 1s, objective = 60
time: 1s, objective = 59
time: 1s, objective = 58
time: 1s, objective = 57
time: 1s, objective = 56
time: 1s, objective = 55
time: 1s, objective = 54
time: 1s, objective = 53
time: 1s, objective = 52
time: 1s, objective = 51
time: 1s, objective = 50
time: 1s, objective = 49
time: 1s, objective = 48
time: 1s, objective = 47
time: 1s, objective = 46
time: 1s, objective = 45
time: 1s, objective = 44
Found optimal solution with makespan 44 at time: 1s
