vars = 32465, values = 31981time: 232ms, objective = 243
time: 247ms, objective = 242
time: 257ms, objective = 241
time: 275ms, objective = 240
time: 285ms, objective = 238
time: 302ms, objective = 236
time: 312ms, objective = 230
time: 328ms, objective = 225
time: 338ms, objective = 216
time: 354ms, objective = 213
time: 365ms, objective = 195
time: 378ms, objective = 194
time: 387ms, objective = 190
time: 398ms, objective = 189
time: 408ms, objective = 187
time: 420ms, objective = 186
time: 430ms, objective = 179
time: 441ms, objective = 176
time: 453ms, objective = 175
time: 464ms, objective = 171
time: 477ms, objective = 170
time: 487ms, objective = 146
time: 497ms, objective = 145
time: 507ms, objective = 125
time: 518ms, objective = 124
time: 538ms, objective = 121
time: 546ms, objective = 118
time: 556ms, objective = 117
time: 566ms, objective = 116
time: 573ms, objective = 115
time: 582ms, objective = 114
time: 589ms, objective = 109
time: 597ms, objective = 106
time: 604ms, objective = 104
time: 612ms, objective = 103
time: 619ms, objective = 95
time: 628ms, objective = 94
time: 635ms, objective = 92
time: 642ms, objective = 91
time: 648ms, objective = 90
time: 654ms, objective = 89
time: 661ms, objective = 85
time: 668ms, objective = 83
time: 676ms, objective = 82
time: 684ms, objective = 75
time: 694ms, objective = 74
time: 702ms, objective = 73
time: 709ms, objective = 72
time: 715ms, objective = 71
time: 722ms, objective = 70
time: 728ms, objective = 69
time: 734ms, objective = 68
time: 740ms, objective = 65
time: 747ms, objective = 64
time: 753ms, objective = 63
time: 759ms, objective = 62
time: 766ms, objective = 61
time: 772ms, objective = 60
time: 777ms, objective = 59
time: 782ms, objective = 58
time: 789ms, objective = 57
time: 794ms, objective = 56
time: 811ms, objective = 55
time: 817ms, objective = 54
time: 823ms, objective = 53
time: 833ms, objective = 52
time: 842ms, objective = 51
time: 863ms, objective = 50
time: 876ms, objective = 49
time: 1s, objective = 48
time: 2s, objective = 47
Found optimal solution with makespan 47 at time: 2s
