vars = 30029, values = 29581time: 219ms, objective = 53
time: 228ms, objective = 51
time: 233ms, objective = 50
time: 238ms, objective = 49
time: 243ms, objective = 48
time: 247ms, objective = 47
time: 251ms, objective = 46
time: 257ms, objective = 45
time: 263ms, objective = 44
time: 334ms, objective = 43
time: 338ms, objective = 42
time: 342ms, objective = 41
time: 346ms, objective = 40
time: 375ms, objective = 39
time: 383ms, objective = 38
time: 1s, objective = 37
Found optimal solution with makespan 37 at time: 1s
