time: 242ms, objective = 238
time: 259ms, objective = 226
time: 267ms, objective = 225
time: 274ms, objective = 224
time: 280ms, objective = 223
time: 287ms, objective = 221
time: 295ms, objective = 219
time: 301ms, objective = 217
time: 308ms, objective = 215
time: 314ms, objective = 214
time: 321ms, objective = 213
time: 327ms, objective = 212
time: 333ms, objective = 210
time: 340ms, objective = 208
time: 347ms, objective = 205
time: 356ms, objective = 204
time: 362ms, objective = 203
time: 370ms, objective = 201
time: 376ms, objective = 199
time: 382ms, objective = 197
time: 388ms, objective = 195
time: 393ms, objective = 193
time: 399ms, objective = 191
time: 405ms, objective = 189
time: 411ms, objective = 187
time: 418ms, objective = 186
time: 436ms, objective = 185
time: 441ms, objective = 184
time: 447ms, objective = 183
time: 452ms, objective = 182
time: 458ms, objective = 178
time: 464ms, objective = 177
time: 470ms, objective = 175
time: 478ms, objective = 174
time: 484ms, objective = 172
time: 490ms, objective = 170
time: 496ms, objective = 169
time: 501ms, objective = 168
time: 507ms, objective = 167
time: 512ms, objective = 164
time: 517ms, objective = 163
time: 525ms, objective = 161
time: 530ms, objective = 160
time: 535ms, objective = 159
time: 541ms, objective = 158
time: 546ms, objective = 155
time: 552ms, objective = 154
time: 557ms, objective = 153
time: 562ms, objective = 152
time: 567ms, objective = 151
time: 572ms, objective = 150
time: 578ms, objective = 149
time: 583ms, objective = 146
time: 591ms, objective = 144
time: 597ms, objective = 141
time: 604ms, objective = 139
time: 609ms, objective = 138
time: 614ms, objective = 134
time: 620ms, objective = 133
time: 625ms, objective = 132
time: 631ms, objective = 131
time: 637ms, objective = 130
time: 643ms, objective = 129
time: 649ms, objective = 128
time: 655ms, objective = 127
time: 661ms, objective = 126
time: 669ms, objective = 122
time: 676ms, objective = 119
time: 682ms, objective = 118
time: 688ms, objective = 117
time: 694ms, objective = 116
time: 699ms, objective = 115
time: 704ms, objective = 114
time: 708ms, objective = 113
time: 713ms, objective = 112
time: 717ms, objective = 110
time: 722ms, objective = 109
time: 729ms, objective = 108
time: 733ms, objective = 107
time: 740ms, objective = 106
time: 744ms, objective = 105
time: 749ms, objective = 104
time: 754ms, objective = 103
time: 760ms, objective = 101
time: 767ms, objective = 100
time: 772ms, objective = 98
time: 777ms, objective = 96
time: 781ms, objective = 95
time: 786ms, objective = 94
time: 791ms, objective = 93
time: 795ms, objective = 92
time: 799ms, objective = 91
time: 806ms, objective = 90
time: 811ms, objective = 89
time: 818ms, objective = 88
time: 825ms, objective = 87
time: 831ms, objective = 86
time: 837ms, objective = 85
time: 845ms, objective = 84
time: 849ms, objective = 83
time: 854ms, objective = 81
time: 858ms, objective = 80
time: 862ms, objective = 78
time: 867ms, objective = 77
time: 872ms, objective = 76
time: 877ms, objective = 75
time: 882ms, objective = 73
time: 886ms, objective = 72
time: 890ms, objective = 71
time: 895ms, objective = 70
time: 899ms, objective = 69
time: 903ms, objective = 68
time: 908ms, objective = 67
time: 912ms, objective = 66
time: 916ms, objective = 65
time: 920ms, objective = 64
time: 924ms, objective = 62
time: 928ms, objective = 61
time: 932ms, objective = 59
time: 936ms, objective = 58
time: 941ms, objective = 57
time: 945ms, objective = 56
time: 949ms, objective = 55
time: 953ms, objective = 54
time: 957ms, objective = 53
time: 961ms, objective = 52
time: 965ms, objective = 51
time: 968ms, objective = 50
time: 972ms, objective = 49
time: 976ms, objective = 48
time: 982ms, objective = 47
time: 998ms, objective = 46
time: 1s, objective = 45
time: 1s, objective = 44
time: 1s, objective = 43
time: 2s, objective = 42
time: 8s, objective = 41
time: 10s, objective = 40
Found optimal solution with makespan 40 at time: 20s
