vars = 31367, values = 30901time: 163ms, objective = 57
time: 171ms, objective = 56
time: 176ms, objective = 55
time: 179ms, objective = 54
time: 182ms, objective = 53
time: 184ms, objective = 52
time: 187ms, objective = 51
time: 190ms, objective = 50
time: 193ms, objective = 49
time: 196ms, objective = 48
time: 198ms, objective = 47
time: 201ms, objective = 46
time: 204ms, objective = 45
time: 207ms, objective = 44
time: 210ms, objective = 43
time: 216ms, objective = 42
time: 219ms, objective = 41
time: 224ms, objective = 40
time: 230ms, objective = 39
time: 235ms, objective = 38
time: 238ms, objective = 37
time: 241ms, objective = 36
time: 247ms, objective = 35
time: 251ms, objective = 34
Found optimal solution with makespan 34 at time: 252ms
