vars = 31489, values = 31021time: 196ms, objective = 148
time: 206ms, objective = 144
time: 216ms, objective = 143
time: 223ms, objective = 141
time: 232ms, objective = 140
time: 239ms, objective = 139
time: 248ms, objective = 138
time: 256ms, objective = 137
time: 265ms, objective = 136
time: 272ms, objective = 134
time: 280ms, objective = 131
time: 287ms, objective = 130
time: 298ms, objective = 129
time: 307ms, objective = 122
time: 315ms, objective = 118
time: 324ms, objective = 114
time: 331ms, objective = 113
time: 339ms, objective = 110
time: 346ms, objective = 107
time: 353ms, objective = 102
time: 362ms, objective = 99
time: 370ms, objective = 98
time: 378ms, objective = 97
time: 384ms, objective = 93
time: 391ms, objective = 92
time: 409ms, objective = 91
time: 416ms, objective = 85
time: 423ms, objective = 84
time: 429ms, objective = 82
time: 437ms, objective = 79
time: 441ms, objective = 77
time: 447ms, objective = 71
time: 454ms, objective = 70
time: 459ms, objective = 69
time: 465ms, objective = 68
time: 471ms, objective = 67
time: 476ms, objective = 66
time: 482ms, objective = 65
time: 487ms, objective = 64
time: 491ms, objective = 63
time: 496ms, objective = 57
time: 503ms, objective = 51
time: 508ms, objective = 48
time: 512ms, objective = 47
time: 519ms, objective = 44
time: 523ms, objective = 42
time: 528ms, objective = 41
time: 532ms, objective = 40
time: 537ms, objective = 39
time: 541ms, objective = 38
time: 545ms, objective = 37
time: 549ms, objective = 36
time: 555ms, objective = 35
time: 655ms, objective = 34
Found optimal solution with makespan 34 at time: 776ms
