vars = 30761, values = 30301time: 177ms, objective = 63
time: 185ms, objective = 62
time: 190ms, objective = 58
time: 199ms, objective = 57
time: 205ms, objective = 56
time: 210ms, objective = 55
time: 214ms, objective = 54
time: 219ms, objective = 52
time: 223ms, objective = 51
time: 228ms, objective = 50
time: 231ms, objective = 49
time: 236ms, objective = 48
time: 239ms, objective = 47
time: 244ms, objective = 46
time: 248ms, objective = 45
time: 257ms, objective = 44
time: 262ms, objective = 43
time: 266ms, objective = 42
time: 273ms, objective = 41
time: 277ms, objective = 40
time: 283ms, objective = 39
time: 289ms, objective = 38
time: 412ms, objective = 37
time: 420ms, objective = 36
time: 428ms, objective = 35
time: 484ms, objective = 34
time: 555ms, objective = 33
time: 586ms, objective = 32
time: 2s, objective = 31
time: 4s, objective = 30
Found optimal solution with makespan 30 at time: 4s
