vars = 28439, values = 28021time: 163ms, objective = 92
time: 173ms, objective = 91
time: 179ms, objective = 90
time: 183ms, objective = 89
time: 188ms, objective = 88
time: 192ms, objective = 87
time: 198ms, objective = 86
time: 203ms, objective = 85
time: 209ms, objective = 83
time: 213ms, objective = 82
time: 218ms, objective = 81
time: 221ms, objective = 80
time: 226ms, objective = 78
time: 233ms, objective = 77
time: 238ms, objective = 76
time: 245ms, objective = 74
time: 250ms, objective = 73
time: 254ms, objective = 72
time: 259ms, objective = 71
time: 265ms, objective = 70
time: 271ms, objective = 69
time: 276ms, objective = 68
time: 281ms, objective = 67
time: 286ms, objective = 65
time: 289ms, objective = 64
time: 294ms, objective = 63
time: 310ms, objective = 62
time: 314ms, objective = 61
time: 318ms, objective = 60
time: 322ms, objective = 59
time: 328ms, objective = 58
time: 332ms, objective = 57
time: 338ms, objective = 55
time: 344ms, objective = 54
time: 349ms, objective = 53
time: 352ms, objective = 52
time: 356ms, objective = 50
time: 365ms, objective = 49
time: 370ms, objective = 48
time: 376ms, objective = 47
time: 380ms, objective = 46
time: 384ms, objective = 45
time: 387ms, objective = 44
time: 390ms, objective = 43
time: 393ms, objective = 42
time: 397ms, objective = 40
time: 401ms, objective = 39
time: 406ms, objective = 38
time: 410ms, objective = 37
time: 415ms, objective = 36
time: 418ms, objective = 35
time: 421ms, objective = 34
time: 424ms, objective = 33
time: 427ms, objective = 32
time: 430ms, objective = 31
time: 434ms, objective = 30
time: 438ms, objective = 29
time: 443ms, objective = 28
time: 446ms, objective = 27
Found optimal solution with makespan 27 at time: 448ms
