optimal,31, 268ms
,,
optimal,25, 467ms
,,
optimal,27, 204ms
,,
optimal,34, 295ms
,,
optimal,30, 405ms
,,
optimal,27, 562ms
,,
optimal,31, 2s
,,
optimal,35, 1s
,,
optimal,26, 217ms
,,
optimal,32, 212ms
,,
optimal,26, 209ms
,,
optimal,32, 2s
,,
optimal,28, 205ms
,,
optimal,24, 207ms
,,
optimal,36, 202ms
,,
optimal,33, 184ms
,,
optimal,25, 250ms
,,
optimal,22, 201ms
,,
optimal,31, 195ms
,,
optimal,38, 230ms
,,
optimal,35, 184ms
,,
optimal,35, 196ms
,,
optimal,28, 202ms
,,
optimal,31, 174ms
,,
optimal,35, 180ms
,,
optimal,35, 194ms
,,
optimal,33, 201ms
,,
optimal,32, 207ms
,,
optimal,30, 200ms
,,
optimal,26, 192ms
,,
optimal,29, 223ms
,,
optimal,28, 934ms
,,
optimal,31, 230ms
,,
optimal,34, 177ms
,,
optimal,29, 2s
,,
optimal,25, 195ms
,,
optimal,34, 257ms
,,
optimal,27, 406ms
,,
optimal,28, 314ms
,,
optimal,22, 202ms
,,
optimal,37, 347ms
,,
satisfiable,42, 31s
,,
optimal,40, 22s
,,
satisfiable,41, 30s
,,
satisfiable,41, 30s
,,
satisfiable,38, 30s
,,
optimal,38, 15s
,,
optimal,41, 15s
,,
optimal,28, 1s
,,
satisfiable,31, 31s
,,
optimal,37, 195ms
,,
optimal,29, 252ms
,,
optimal,32, 518ms
,,
optimal,30, 3s
,,
optimal,34, 707ms
,,
optimal,26, 306ms
,,
optimal,29, 245ms
,,
optimal,34, 209ms
,,
optimal,41, 1s
,,
optimal,31, 259ms
,,
optimal,40, 195ms
,,
optimal,38, 186ms
,,
optimal,34, 815ms
,,
optimal,33, 177ms
,,
optimal,30, 254ms
,,
optimal,24, 967ms
,,
optimal,22, 253ms
,,
optimal,27, 289ms
,,
optimal,23, 197ms
,,
optimal,28, 198ms
,,
optimal,27, 223ms
,,
optimal,32, 186ms
,,
optimal,41, 2s
,,
optimal,23, 336ms
,,
optimal,19, 211ms
,,
optimal,30, 276ms
,,
optimal,30, 264ms
,,
optimal,22, 294ms
,,
optimal,25, 198ms
,,
optimal,24, 239ms
,,
optimal,34, 285ms
,,
optimal,26, 232ms
,,
optimal,26, 236ms
,,
optimal,33, 303ms
,,
optimal,39, 2s
,,
optimal,29, 217ms
,,
optimal,33, 208ms
,,
optimal,32, 198ms
,,
optimal,31, 254ms
,,
optimal,34, 251ms
,,
optimal,28, 193ms
,,
optimal,33, 904ms
,,
optimal,33, 203ms
,,
optimal,35, 188ms
,,
optimal,31, 206ms
,,
optimal,21, 266ms
,,
optimal,25, 232ms
,,
optimal,35, 2s
,,
optimal,18, 2s
,,
optimal,25, 222ms
,,
optimal,35, 201ms
,,
optimal,29, 186ms
,,
optimal,21, 246ms
,,
optimal,31, 190ms
,,
optimal,30, 199ms
,,
optimal,27, 200ms
,,
optimal,24, 190ms
,,
optimal,36, 211ms
,,
optimal,34, 2s
,,
optimal,25, 218ms
,,
optimal,30, 197ms
,,
optimal,28, 175ms
,,
optimal,25, 1s
,,
optimal,27, 508ms
,,
optimal,35, 187ms
,,
optimal,29, 215ms
,,
optimal,24, 196ms
,,
optimal,30, 178ms
,,
optimal,33, 260ms
,,
optimal,26, 2s
,,
optimal,38, 3s
,,
optimal,45, 5s
,,
satisfiable,34, 31s
,,
satisfiable,37, 30s
,,
optimal,37, 1s
,,
optimal,37, 17s
,,
optimal,33, 3s
,,
satisfiable,36, 31s
,,
optimal,44, 1s
,,
optimal,32, 8s
,,
optimal,26, 197ms
,,
optimal,23, 1s
,,
optimal,36, 368ms
,,
optimal,25, 270ms
,,
optimal,26, 231ms
,,
optimal,30, 473ms
,,
optimal,31, 225ms
,,
optimal,38, 203ms
,,
optimal,33, 274ms
,,
optimal,34, 199ms
,,
optimal,25, 1s
,,
optimal,21, 284ms
,,
optimal,33, 189ms
,,
optimal,23, 209ms
,,
optimal,24, 221ms
,,
optimal,32, 217ms
,,
optimal,27, 235ms
,,
optimal,24, 185ms
,,
optimal,23, 194ms
,,
optimal,26, 191ms
,,
optimal,27, 214ms
,,
optimal,37, 199ms
,,
optimal,31, 217ms
,,
optimal,21, 1s
,,
optimal,29, 311ms
,,
optimal,37, 200ms
,,
optimal,30, 193ms
,,
optimal,29, 213ms
,,
optimal,38, 189ms
,,
optimal,31, 183ms
,,
optimal,34, 331ms
,,
optimal,27, 2s
,,
optimal,32, 422ms
,,
optimal,24, 264ms
,,
optimal,30, 285ms
,,
optimal,27, 270ms
,,
optimal,32, 213ms
,,
optimal,33, 211ms
,,
optimal,33, 191ms
,,
